City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,udachny,66.4167,112.4,-20.39,91,94,5.46,RU,1739063188
260,tura,25.5198,90.2201,12.8,46,1,1.43,IN,1739063189
261,buba,11.5833,-15.0,20.58,78,100,1.39,GW,1739063190
262,gizo,-8.103,156.8419,29.68,70,39,4.42,SB,1739063191
263,fort mcmurray,56.7268,-111.381,-13.23,66,100,2.06,CA,1739062918
264,yermakovskoye,53.2831,92.4003,-8.72,95,100,0.49,RU,1739063194
265,seguela,7.9611,-6.6731,24.5,22,2,0.84,CI,1739063195
266,narrabri,-30.3167,149.7833,32.51,37,29,1.79,AU,1739063196
267,gadzhiyevo,69.2551,33.3362,-2.7,82,100,12.84,RU,1739063197
268,vilyuysk,63.7553,121.6247,-24.55,93,100,2.86,RU,1739063199
269,mahanoro,-19.9,48.8,24.57,93,26,2.18,MG,1739063200
270,acapulco de juarez,16.8634,-99.8901,26.9,83,40,3.09,MX,1739063021
271,revda,56.801,59.9303,-14.66,97,32,1.89,RU,1739063202
272,nelson bay,-32.7167,152.15,27.22,74,1,1.34,AU,1739063203
273,nova sintra,14.8667,-24.7167,21.95,72,100,8.5,CV,1739063205
274,freeport,40.6576,-73.5832,1.12,73,100,4.12,US,1739063197
275,lewiston orchards,46.3804,-116.9754,0.07,94,100,0.0,US,1739063207
276,miracema do tocantins,-9.5618,-48.3967,24.58,90,100,1.38,BR,1739063208
277,darovskoy,58.77,47.9564,-15.94,100,100,0.81,RU,1739063210
278,corinto,37.9407,22.9573,6.31,75,100,6.32,GR,1739063211
279,palmas,-10.2128,-48.3603,25.93,89,40,1.03,BR,1739062607
280,kittila,67.6647,24.8936,-4.66,93,100,6.69,FI,1739063213
281,belmonte,-15.8631,-38.8828,24.33,86,100,2.43,BR,1739063214
282,chibougamau,49.9168,-74.3659,-16.21,78,100,2.57,CA,1739063215
283,castillos,-34.1667,-53.8333,20.98,83,0,2.91,UY,1739063216
284,dunedin,-45.8742,170.5036,14.33,85,100,3.13,NZ,1739063037
285,sodankyla,67.4167,26.6,-3.66,89,100,5.83,FI,1739063220
286,sisimiut,66.9395,-53.6735,-17.87,79,100,3.54,GL,1739063221
287,shalkar,47.8288,59.6258,-12.05,86,88,6.2,KZ,1739063222
288,tambo,-14.8,-73.9167,6.16,90,100,2.23,PE,1739063223
289,kushiro,42.975,144.3747,-1.9,68,100,8.36,JP,1739063224
290,la'ie,21.6477,-157.9253,27.25,67,97,3.13,US,1739063225
291,nizhnesortymskiy,62.4397,71.7603,-2.16,78,88,13.07,RU,1739063226
292,ambon,-3.6954,128.1814,31.24,100,40,6.76,ID,1739063228
293,taoyuan city,24.9937,121.297,11.49,76,75,6.69,TW,1739063138
294,la passe,45.5549,-0.8967,6.67,87,100,4.47,FR,1739063230
295,rio grande,-32.035,-52.0986,23.71,78,0,6.91,BR,1739063231
296,akjoujt,19.6969,-14.4164,16.95,22,0,5.47,MR,1739063232
297,sao gabriel da cachoeira,-0.1303,-67.0892,23.23,98,100,0.55,BR,1739063233
298,winslow,35.0242,-110.6974,16.1,29,0,4.63,US,1739063234
299,waverly,42.7392,-84.6208,-2.91,89,100,4.12,US,1739063087
300,bambamarca,-6.6833,-78.5333,12.79,97,100,1.31,PE,1739063237
301,tamale,9.4008,-0.8393,28.2,11,8,2.37,GH,1739063238
302,salinas,36.6777,-121.6555,13.37,77,34,2.14,US,1739062848
303,mazaricos,42.9403,-8.9719,10.47,96,100,2.41,ES,1739063240
304,insar,53.8653,44.3738,-15.43,100,84,1.81,RU,1739063241
305,kosterevo,55.9299,39.6144,-5.12,89,7,0.62,RU,1739063244
306,qianzhou,28.3167,109.7167,1.3,30,0,0.64,CN,1739063245
307,pasni,25.2631,63.471,19.54,61,47,2.39,PK,1739063246
308,kingston,17.997,-76.7936,27.53,69,20,5.66,JM,1739062778
309,rumbek,6.802,29.6912,26.68,29,17,2.43,SS,1739063067
310,tralee,52.2704,-9.7026,0.48,96,100,2.51,IE,1739063250
311,zima,53.9202,102.0442,-23.97,99,100,3.15,RU,1739063251
312,motueka,-41.1333,173.0167,25.05,46,0,3.67,NZ,1739063252
313,sibiu,45.8,24.15,-8.82,92,0,1.03,RO,1739063254
314,souillac,-20.5167,57.5167,24.21,88,20,2.57,MU,1739063256
315,wuwei,37.9281,102.6414,-6.43,52,0,1.96,CN,1739063257
316,mount pearl,47.5166,-52.7813,-3.81,80,70,1.79,CA,1739063258
317,ola,59.5833,151.2833,-20.14,80,1,4.54,RU,1739063259
318,hithadhoo,-0.6,73.0833,27.34,77,71,4.65,MV,1739063122
319,nikolayevsk-on-amure,53.1406,140.73,-14.16,77,100,2.39,RU,1739063261
320,pointe-noire,-4.7761,11.8635,26.31,89,100,2.65,CG,1739063262
321,nuuk,64.1835,-51.7216,-5.66,79,75,5.66,GL,1739063264
322,broome,42.2506,-75.833,-3.02,89,100,5.66,US,1739063265
323,las palmas,28.4204,-14.0131,15.44,63,40,3.6,ES,1739062988
324,kudat,6.8837,116.8477,26.28,86,82,3.26,MY,1739063267
325,baharly,38.4362,57.4316,-0.54,87,70,2.13,TM,1739063271
326,lompoc,34.6391,-120.4579,17.61,40,0,6.17,US,1739063272
327,labrador city,52.9463,-66.9114,-26.69,94,75,3.62,CA,1739063273
